Review,Features
"Jace Rankin may be short, but he's nothing to mess with, as the man who was just hauled out of the saloon by the undertaker knows now. He's a famous bounty hunter in Oregon in the 1890s who, when he shot the man in the saloon, just finished a years long quest to avenge his sister's murder and is now trying to figure out what to do next. When the snotty-nosed farm boy he just rescued from a gang of bullies offers him money to kill a man who forced him off his ranch, he reluctantly agrees to bring the man to justice, but not to kill him outright. But, first he needs to tell his sister's widower the news.Kyla ""Kyle"" Springer Bailey has been riding the trails and sleeping on the ground for the past month while trying to find Jace. She wants revenge on the man who killed her husband and took her ranch, amongst other crimes, and she's not so keen on the detour Jace wants to take. But she realizes she's out of options, so she hides behind her boy persona as best she can and tries to keep pace. When a confrontation along the way gets her shot and Jace discovers that Kyle's a Kyla, she has to come clean about the *whole* reason she needs this scoundrel dead and hope he'll still help her.The book has its share of touching moments and slow-blooming romance. Kyla, we find out, has good reason to fear men and hide behind a boy's persona. Watching Jace slowly pull her out of that shell and help her conquer her fears was endearing. Her pain was real and deeply-rooted and didn't just disappear in the face of his sexiness. Neither did his understandable aversion to marriage magically disappear after a round of nookie. Why would a man who's drifted from town to town for his entire adult life - a man who's killed his fair share of men along the way - feel he'd make a good husband or father? They're both the walking wounded and in a unique position to help each other, they just need time to realize it.However, while it was packed to bursting with my favorite themes - Old West setting, a heroine passing as male, a morally ambiguous hero, wounded souls, road romance, the kitchen sink - there was a certain...distance in the writing that kept me from getting carried away. Both characters were distinct and fully-formed and I couldn't point to any glaring instances of bland telling or anything, I just never felt really invested. I enjoyed it quite a bit, as it was an exciting trip, but I was watching them from far away. I definitely wasn't on the run alongside them. Add on a hasty and too tidy ending, and the book left me feeling a bit less than completely satisfied.I enjoyed the book, but I can't say it was above average. I'd still read another book by the author.Note: I read the re-released ebook version and noticed there were a lot of formatting errors and missing words. I had to mentally edit as I read for some sentences to make sense. It wasn't too too bad, but it was a little distracting.","Rankin is a famous bounty hunter in Oregon in the 1890s who, when he shot the man in the saloon, just finished a years long quest to avenge his sister's murder and is"
Great short read.  I didn't want to put it down so I read it all in one sitting.  The sex scenes were great between the two males and one female character...a bit surprising - I never thought you could do that!  I learned something new and really enjoyed reading this book!  This is a great way to get all hot and bothered and take advantage of your significant other(s)!,Great short read. I didn't want to put it down so I read it all in one sitting. The sex scenes were great between the two males and one female character...a bit surprising - I never thought you could do
"I'll start by saying this is the first of four books so I wasn't expecting it to &#34;conclude&#34;. It centers on 3 children, Alex and his younger brother Argus, and Alex's friend, Sapphire. They find a name on a bus map that they can't find and so the mystery starts. Well written with good character development although lots of room still for more.It's quite a short book so I will be moving onto book 2 swiftly.","It centers on 3 children, Alex and his younger brother Argus, and Alex's friend Sapphire. They find a name on a bus map that they can't find and so the mystery starts. Well written with good character development"
"Aggie is Angela Lansbury who carries pocketbooks instead of writing them. While this light murder mystery is laced with misdirections, the clues lead to a rather obvious cliche of an ending. The setting,  views described in the story are its best and most believable parts, and Aggie the only well-written character. Very light reading.","Aggie is Angela Lansbury who carries pocketbooks instead of writing them. While this light murder mystery is laced with misdirections, the clues lead to a rather obvious cliche of an ending. The"
I did not expect this type of book to be in library was pleased to find it price was right,I did not expect this type of book to be in library was pleased to find it price was right
"Aislinn is a little girl with big dreams. After the death of her older brother, she decides to follow in his footsteps and become a lady knight. Her quest for knighthood brings many challenges and the temptation of forbidden love. Aislinn learns that being a knight means putting the Kingdom in front of personal concerns and helping those that cannot help themselves. In a journey is fraught with danger and filled with adventure, Aislinn is forced to grow up fast. She must stay strong and develop the skills necessary to realize her lifelong dream.With sword fights, passionate love, mythical creatures, and courtly games, Woman of Honor is my kind of book. I love the idea of incorporating real history in fantasy, and Ms. Zoltack's book is based on the real life story of a group of female knights. Blending history with fiction, her writing is full of plot and adventure and her characters are strong and believable. Most of all, I grew to love all of them and cared about their hardships and successes.Aislinn is quite the main protagonist. She's tenacious and bold, beautiful and strong. The romance that blooms between her and the prince is well developed after years of solid friendship and teasing. I enjoyed reading about their secret courtship and had no idea how their romance would turn out! Ms. Zoltack has a few twists in store that will shock and startle as well as please.In conclusion, I thoroughly recommend this book for everyone that enjoys fantasy, romance and adventure! I will be eagerly awaiting the sequel, Knight of Glory.","Aislinn is a little girl with big dreams. After the death of her older brother, she decides to follow in his footsteps and become a lady knight. Her quest for knighthood brings many challenges and the temptation of forbidden"
This has the makings of a good story... unfortunately it disappoints.it tells of two alpha were who are members of unfriendly packs... they have grown up together with one being gay and the other straight... then when it seems they are about to get together something happens and the story is told in alternating chapters of past and present.. the story and the couple fall apart in the switch of time and lack of a sustainable reason for the break.,This has the makings of a good story... unfortunately it disappoints.it tells of two alpha were who are members of unfriendly packs... they have grown up together with one being gay and the other straight... then when it seems
"I got this because I like collaborated short stories. Alot of times when two good writers put their heads together, the results turn out well. This is the case with this short story. The writers take an age old lesson and turn it into a good read. It begins with, as they call it, Crazy #1 who is picking up a hitchhiker and from there it gets graphic and a little much for my taste. Then it cuts to Nutcase #2 who is hitchhiking. They inevitably get together and the results are suspenseful. The ending I felt was well deserved on both accounts.I also watched the video of the two authors on how they decided to break this short story up and the idea was cool. One wrote their side for scenario 1 and the other did scenario 2 without talking with each other about how tier side was going. Then, when it came for them to bring the two pieces together, they made them fit perfectly. I think it took great talent for two authors to take their two seperate stories and merge them as well as they did.The story does have some pretty graphic details which is forwarned, but if you don't mind a little detail for a short story, then definitely pick this one up.","""I got this because I like collaborated short stories. Alot of times when two good writers put their heads together, the results turn out well. This is the case with this short story. The writers take an age old lesson and turn it"
"Loved this book, I am hooked on this series and hope there is more! Kelsey Maxwell really made these characters so I couldn't get enough.",Five Stars
"And that's a good thing. Short, sweet tease that gives you everything in a quick kick. A kick that comes in the dark.","This is a good thing. Short, sweet tease that gives you everything in a quick kick. A kick that comes in the dark."
"I received a copy of book to review. ""A secret society. A fanatical cult. A telepathic girl."" are not my cup of tea. This was not what I expected and I really don't need another continuational book. I still haven't read the Catching Fire from the Hunger Games. I don't get into all this sci-fi stuff. Just not my cup of tea. Sorry.","I received a copy of book to review. ""A secret society. A fanatical cult. A telepathic girl."" are not my cup of tea. This was not what I expected and I really don't need"
"Even though you already know what the outcome will be, this is still an enjoyable and erotic read.  It was just a little short for my taste.",This is still an enjoyable and erotic read. It was just a little short for my taste.
I read the other reviews and decided to give it a try despite the review labeling it brutal. Believe the reviewer who called it brutal. This was beyond disturbing. I can read almost anything recognizing that it is fiction but not this. I returned it.  If less than a 1 star rating were available I would have used it.,This was beyond disturbing. I can read almost anything recognizing that it is fiction but not this. I returned it. If less than a 1 star rating were available I would have used it.
"I just finished a re-read of WICKED GARDEN and all I can say is WOW!!!, even in a novella Lorelei James can write stories so hot your e-reader starts smokin!WICKED GARDEN is a short story about lost loves reuniting with a little extra sumthin, sumthin. Billy Buchanan returns to Spearfish as a favor for a business associate.  He agreed as a favor but also because it would give him a chance to re-ignite the spark from his high school flame Eden LaCroix.  For the past ten years he has regretted walking away from Eden. Eden has spent the last ten years building a career and dedicated to the local community center helping at risk kids.  She hasn't had time for real relationships, just the occasional no strings attached hook ups with sexy Native American rock star Jon White Feather.When Billy and Eden see each other for the first time in ten years the chemistry spikes off the charts but Eden is determined to fight it because Billy is working on a project that could destroy her job.  He quickly sweet talks her into seeing him out side the project.  As things heat up between Eden and Billy and they are both realizing they still have strong feelings for each other...dunh dunh dunh....Jon comes home for a couple of days.  Billy and Jon decide they want to give Eden one of her darkest fantasies. BOY O BOY is this a hot menage!I really like Eden, even though she is worried about her heart and Billy leaving her again, she takes charge of her sexuality and is not scared to go after what she wants sexually.  As much as I liked Eden in this story, it is Billy and Jon who stole the story for me.  Both men are sexy and strong.  Billy is possessive, sexy, dominant and vulnerable, I absolutely adore the way he treats Eden and some of the insecurities he displays.  JON...oh my, he is my favorite, don't get me wrong I love Billy, but the way Jon treats Eden before, during and after the menage just melts my heart (among other things), Not to mention Jon is a sexy rock star.  I am over the moon excited that Jon is getting his own novella BALLROOM BLITZ, release date 10/2/12.Folks...let me tell you...if I could get the action that went on in the work out room in WICKED GARDEN I would be in the work out room five to ten times a day!WICKED GARDEN is a great novella perfect for an afternoon when you want to escape for a few hours.  A bonus is we get to see how sexy Lorelei writes non-cowboys, yep be it in a cowboy hat or a suit  Ms. James knows how to write sexy as hell heroes!","WICKED GARDEN is a short story about lost loves reuniting with a little extra sumthin, sumthin. Billy Buchanan returns to Spearfish as a favor for a business associate."
"But it's from the King James Version, so far as I can tell. As you may know, from 1611, the KJV was published with these books included. You can get an ebook KJV with Apocrypha from Kindle.Bible (KJV with Apocrypha) (best navigation with Direct Verse Jump)orKing James Bible with the ApocryphaorKing James Bible with the ApocryphaFor those who want to read more commentary on these books than is provided in the short intros by Misbach, you can refer to either Halley's Bible HandbookHalley's Bible Handbook with the New International Version---Deluxe Editionor The New Unger's Bible HandbookThe New Unger's Bible Handbook, both available as Kindle ebooks.","""But it's from the King James Version, so far as I can tell. As you may know, from 1611, the KJV was published with these books included. You can get an ebook KJV with Apocry"
"I was very disappointed with this book... not because I have anything against blonds (I am one), but because I figured that out of 500 jokes, there HAD to be some good laughs. I was wrong. First, I didn't count them, but I'd be real surprised if there were even 200 jokes in this book. Second, among those 200 possible jokes, at least 50 were repeated 2 or more time in different parts of the book. It's almost as if the writer kept a running list of jokes as he heard them, with no real concern about whether or not they might already have been recorded. Then he decided there MUST be at least 500 jokes here. Finally, to be perfectly frank with you, I do not recall laughing at a single one of these ""jokes"". Most were better described as insults, mistaking the degradation of a group of people for humor. Very ""7th Grade"" material. Don't bother with this one. It's not worth the 99 cents. It's not even worth ""free"".","""7th Grade"" material. Don't bother with this one. It's not worth the 99 cents. It's not even worth ""free"""
"This was a super quick book. I wish it would have been longer. Really liked the characters. Very sexy bedroom, pool table sex. This is a good author.","This book is a very quick book. I wish it would have been longer. Really liked the characters. Very sexy bedroom, pool table sex. This is a good author."
"How many times is author going to get Amazon to delete this or add comments about alleged conspiracies of people out to get him? Is he f*in delusional? My review:I have to agree with a few previous reviewers. The author doesn't know the basic mechanics of writing, so how in the world is this or any other he's written full stars? There's not a page that isn't filled with grammar problems. The story itself suffers the same problems from the author's inattention to detail. Characters are inconsistent in their actions. It's like they're interchangeable pegs on a board the author puts into places when he needs them.",How many times is author going to get Amazon to delete this or add comments about alleged conspiracies of people out to get him? Is he f*in delusional?
i love j.r. wards books. this story was completely awsome zsadist is by for my favorite in the series.,i love j.r. wards books. this story was completely awsome zsadist is by for my favorite in the series.
"This was my first with this author. I thoroughly enjoyed it.I have to say the concept of dragon, elves and djinn being at war is new to me. Theres usually a truce in place. That elves and djinn team up to eliminate dragon mates, in an attempt to wipe out the dragon race was refreshing to read. Story wise I mean.Scarlet is a pop star. She has been in hiding for 7 years.Janos is a dragon. He is also an elder.Scarlet is his mate. Janos must protect her till he can impregnate her. Once that is accomplished he can change her thus giving her a way to protect herself.The story was too short. Only 90 pages. Still a lot was told in such a short space. Looking forward to continuing the saga in the next book.","This was my first with this author. I thoroughly enjoyed it. I have to say the concept of dragon, elves and djinn being at war is new to me. Theres usually a truce in place. That"
"This was my first Anya Bast book and I really liked it. I have looked at some of her other reads but her books seems a little too far fetched for me but to each his own. What makes this book so different from other menage stories is that the author took the time to really develop her characters. The men got to know their woman. They did not claim her and wisk her off and screw like bunnies 24/7. They took the time to woo her, they loved her, respected her, and they honored her. I also loved the fact that it was quite ways into the book before they actually had sex. This was a great read and one I would highly recommend! I would have loved more action and intrigue but for the most part I loved it. I hope this books becomes a series. Great job Ms. Bast.","""It was my first Anya Bast book and I really liked it. I have looked at some of her other reads but her books seems a little too far fetched for me but to each his own. What makes this"
"I love reading mini novels and you can't go wrong when it's by Jane Porter.  Yet another great read by this amazingly talented author.  I fell in love with Estrella.  She is not only beautiful, but she is strong, compassionate and determined.  Carlo is the man you want to hate, but instead end up wishing he was yours.  I enjoyed this book from beginning to end.  Not only did the character's personalities draw you in, but the story-line makes you want to reach out and help those that are less fortunate.  I highly recommend this mini novel.  It's a perfect marriage of love, hate, romance and philanthropy.","I love reading mini novels and you can't go wrong when it's by Jane Porter. Yet another great read by this amazingly talented author. I fell in love with Estrella. She is not only beautiful, but she is strong"
This book was extremely incredible to read and it had so much heated passion to describe in every Steele relationship. I'm glad that the brothers and cousin found passionate love at last.,This book was extremely incredible to read and it had so much heated passion to describe in every Steele relationship. I'm glad that the brothers and cousin found passionate love at last.
"What's the difference between a guy and a man?  Willingness to take a risk on a relationship with a woman.  Of course, he's hot, she's hot, and the physical attraction is explosive and enjoyable.  That will earn 3 stars in this genre.  What earned the 4th star is the quality of the characterization and the interaction between the various characters in the book.The book is a quick, short read.  Just the right palate pleaser when you want a bit of romance and sex, but don't want to commit.","The book is a quick, short read. Just the right palate pleaser when you want a bit of romance and sex, but don't want to commit."""
"Gave up about half way through.  Too much repetition, too much that didn't make sense and was hard to follow.","Too much repetition, too much that didn't make sense and was hard to follow."
I don't know what I was expecting but this was not it in any way form or fashion. This book was not exciting at all and I think I ordered the wrong book by accident.,This book was not exciting at all and I think I ordered the wrong book by accident.
I love to read Simon wood's books. This one is morbid and makes the reader and victims skin crawl. There is not much guessing here. Just outright gruesome.,This is morbid and makes the reader and victims skin crawl. There is not much guessing here. Just outright gruesome.
"This short story is very confusing.I have no issue with unreliable narrators, but it is difficult to tell what is happening in this story because the writing is too poor for readers to be able to draw any conclusions.  Virtually everybody in the story has difficulty relating to others.  Conversations begin and then trail off without any important information being related.  The author doesn't prevent any ""normal"" interactions for us to be able to judge if the characters are the ones who have difficult understanding normal human interactions or if the problem actually is with him.  I had assumed that a main character was mentally unbalanced and waiting for that to develop throughout the story.  However, when the story ended, apparently he had become ""normal,"" making a very unfulfilling conclusion.  Why set up a ""weird"" situation for a short story with all this foreshadowing and then leave it unexplored and unexplained?  The only way the author can advance the story is to tell us -- in simple sentences -- what type of people the characters are (things like:  He was a nice person.  He liked people.  He didn't know why, that was just the way he was).  We're never shown anything through the action of the story.  People are just put in situations, have weird, trailing-off conversations, and then we're subjected to basic statements about the type of people that they are.The environment isn't very realistic either.  Because of some odd wording, I thought at first that maybe the story was set in another country -- but then a character mentions being from ""Michigan,"" which is the only sense of place we got in the story.  We know we're not in Michigan and we're in a city.  Don't hope for anything more specific.  It's a place where a independent office supply story is still in business (and can afford to pay ten dollars an hour for part time help) -- but is it in modern times?  Don't hope for anything specific, because it won't be happening.The characters seem not to know things that we would know.  For example, a character was in ""the war"" and has returned home and worked another type of job.  Later, ""old bruises"" on his face are thought by other characters to be from ""the war.""  However, human healing doesn't work that way and all humans should be aware of that.  Bruises, even ""old"" ones, have to be relatively recent and not from old trauma.The experience of reading this story is kind of like if another species was writing about humans and their interactions.  We know we don't act that way, but to a elephant, these interactions might make sense.The proofreading is better than some earlier reviews stated (I'm going to guess issues were corrected), but still not a professional job.","This short story is very confusing.I have no issue with unreliable narrators, but it is difficult to tell what is happening in this story because the writing is too poor for readers to be able to draw any conclusions. Virtual"
"I found this book to be a very enjoyable read.  After the first chapter, it really takes off and keeps you entertained until the end.  I enjoyed it so much that I immediately purchased the next two books in the series.","I found this book to be a very enjoyable read. After the first chapter, it really takes off and keeps you entertained until the end. I enjoyed it so much that I immediately purchased the next two books in the series."""
"Amy Parker is going to Hawaii the week before Christmas on business. She has had to give up sex and relationships to focus on her career. Justin Garrett is her traveling companion and associate at the law firm.  If they didn't work together, she'd definitely do him. On the plane she boldly masturbates in the seat next to him while he's supposedly napping, but he hears everything and it makes him hard. Before they left for this trip, he accidentally found a racy email to her friend on her laptop, and he knows she wants him and he knows her deepest, darkest desires. He plans to do something about it in Hawaii.They meet with their client, Mitch Magruder, who Justin apprenticed with before going to his current job. Mitch and Justin share a friendly camaraderie, and Justin knows he can count on Mitch to help fulfill Amy's fantasy. Between the two of them, they work to get Amy to relax and unwind. But can Justin get her to relax enough to give him her heart?In Unwrapped, Jaci Burton paints a vivid picture of the two men coaxing Amy into letting herself go, and letting them both seduce her. Readers will enjoy a molten-hot m&eacute;nage scene and the exquisite feeling of finally being intimate with someone you've fantasized about for years. As with all of Ms. Burton's books, this is power packed with emotion and sensuality. I love her style and how she creates believable, intelligent characters. Unwrapped sucks you in from page one and keeps you riveted to the very end. Very highly recommended.5 Kisses, 2 Peppers (m/f/m m&eacute;nage, anal sex)~LindyReviewer, TwoLips Reviews, LLC[...]","Five Kisses, 2 Peppers (m/f/m m&eacute;nage, anal sex)LindyReviewer, TwoLips Reviews, LLC[...]"
"It's Jodi's birthday and the last place she wants to be is stuck working.  When her boss/boyfriend insists this is the only night this job can be completed she has little choice.  Jodi and her boss may be mattress dancing but they both decided early on this would be a no-strings attached relationship.  Lately, Jodi has been having second thoughts, a relationship with Mark sounds really good.  Things are about to get interesting as Jodi gets busted breaking and entering by a sinfully sexy man.Mark Rodriguez is about to merge his security company with his old buddy Sam.  He has a favor to ask of Sam first.  Mark would like Sam to join him in fulfilling Jodi's m&eacute;nage fantasy as a birthday surprise.  However, Mark starts to have second thoughts when he sees Jodi and Sam together.  Perhaps Mark wants more from Jodi than no-strings as well.Private Property is a spicy erotic novella.  A m&eacute;nage is quite the birthday surprise for Jodi.  Mark, Jodi and Sam heat things up in this lusty novel.  I like how Mark is immediately reconsidering not only his idea for the m&eacute;nage but the relationship.  There is nothing like seeing your woman getting it on with another man to make you realize how serious you are about her.  Private Property will leave you thinking that breaking and entering might not be such a bad thing.MirandaFor Joyfully Reviewed",Jodi's birthday and the last place she wants to be is stuck working. When her boss/boyfriend insists this is the only night this job can be completed she has little choice. Jodi and her boss may be mattress
"Interesting for the historic value- not really a story, rather an accounting of the events. Interesting biographical  information in the 1st person.",Interesting biographical information in the 1st person.
"This book was very detailed and interesting..  I felt at times the characters were doing too much. It was very erotic,but I got bored in some places.  I was tired for Savannah!  Get this book especially if it is free.  Good Read!","This book was very detailed and interesting.. I felt at times the characters were doing too much. It was very erotic,but I got bored in some places. I was tired for Savannah! Get this book especially if it is free"
"This is the 3rd book, and my second time through, it's still a good, exciting and loving story, about sharing and making sacrifices for those you love. Were that life was so easy!","This is the 3rd book, and my second time through, it's still a good, exciting and loving story, about sharing and making sacrifices for those you love. Were that life was so easy!"""
"No, not my type. I love ghost stories, but did not enjoy this book. However, someone else may enjoy it. I never let other peoples' opinion put me off from trying a book that looks interesting. As I said, this is just not MY kind of story.","No, not my type. I love ghost stories, but did not enjoy this book. However, someone else may enjoy it. I never let other peoples' opinion put me off from trying a book that looks interesting. As I said,"
"I can't believe this was listed as a romance.  I read romance novels because I'm looking for something uplifting.  This book was dark & depressing.  I didn't find the story or the writing to be bad.  Just depressing.  Sex was very high overview and it didn't go into any depth on the developement of the characters relationship.Spoiler Alert ****If you like a happy ending, forget this.  It was said in other reviews, but I guess not strongly enough for me to truly understand. Hopefully I can say this plainly enough that others with the same expectations as me don't waste their time.  The hero dies a brutal death saving the heroine.  The book continues for several chapters showing how the remaining characters pick up their lives & go on.  It ends with the heroine sitting on a porch, contemplating her life & wondering what lies ahead for her, now that the man she loves is gone.I did almost cry at the end, but in anger that I had wasted my free time reading this book.",This book was dark & depressing. I didn't find the story or the writing to be bad. Just depressing. Sex was very high overview and it didn't go into any depth on the developement of the
I read this book twice to make sure I was as happy with it as I thought.  I knew is was a short book when I bought it  and actually felt bad when I finsihed it.  The story line was great and the charcters were well thought out.  I did however wish is was longer so there was less of a rush to get the book finished.,I read this book twice to make sure I was as happy with it as I thought. I knew is was a short book when I bought it and actually felt bad when I finsihed it. The story line was great and the
Now this is an AWESOMEE thriller!! You will be hitched from the beginning and dragged along for the roller coaster ride all the way to the end. This book has great twists and turns and I fell inlove with the main character and his &#34;girlfriend.&#34; I highly recommend.,This is an AWESOMEE thriller!! You will be hitched from the beginning and dragged along for the roller coaster ride all the way to the end. This book has great twists and turns and I fell in love with
"This was just an ok story. I thought the characters were a little shallow and the pull that brought them together was way too fast and the booked moved from sexy to the end in a blink of what felt like a chapter (was more than that) but you get my point. Maybe it was that most of story had taken place in literally one place and it felt like there really was no room for growth to where the story ended. It was however very well written in terms format, so I would give another book by this Author a read.",This was just an ok story. I thought the characters were a little shallow and the pull that brought them together was way too fast and the booked moved from sexy to the end in a blink of what felt like a
Great twist turning and mystery plot.  Unable to stop reading until the very end.  Definitely a must read for mystery and suspense readers. Definitely recommend.,Great twist turning and mystery plot. Unable to stop reading until the very end. Definitely a must read for mystery and suspense readers. Definitely recommend.
I think this series was the first of this type of stories. I can see James Bond being based on Bulldog Drummond!,This series was the first of this type of stories. I can see James Bond being based on Bulldog Drummond!
"This book is wrong on so many levels and although I don't usually type spoilers I will for this one..Hope is the daughter of one of the scientists at the lab Wolfe is held at. Although he marks her, he refuses to mate her because of her age. The labs burn down and Wolfe is believed dead for  years. Hope is alone and unable to move on with another man because of the bond.Hope's evil mother apparently knows Wolfe survived because she has been sending him photos of Hope with other men. (Fake of course). Wolfe appears out of nowhere, captures Hope, and punishes her by teasing her with sex, and not allowing orgasms. Due to the mating heat she is apparently writhing in pain while he continues to try getting the answers he seeks.If you find nothing wrong with the above, it gets worse!First time for her and he sticks it in her ass.When he finally out of no where does a 180 and decides she is innocent, he doesn't want to to relieve her because he might be to rough and his animal is at the surface!? What?!Of course she begs, they have their orgasms, and all is forgiven. There's some joking. And then her mother shows up for a quick (falling sandbags of all things) take down.This is a joke, the writing is just (not even good ) sex with some attempts at a story thrown in.","This book is wrong on so many levels and although I don't usually type spoilers I will for this one..Hope is the daughter of one of the scientists at the lab Wolfe is held at. Although he marks her,"
"These stories aren't written badly, but they struck me as emotionally ""off"" or tone deaf.  Fiction about abuse -- whether physical or emotional -- can take us places that are difficult, places that are unfamiliar or maybe sadly familiar.  But in each story, I found myself thinking that people wouldn't act that way or think that way -- things were a little too pat, a little too rushed.  Language was a bit careless, observations were a little bit off.It's hard to specify exactly what seemed off about these stories but it was almost as if I was reading a collection of stories written by somebody who hadn't had much more exposure to father/child dynamics than watching a Lifetime movie marathon.","These stories aren't written badly, but they struck me as emotionally ""off"" or tone deaf. Fiction about abuse -- whether physical or emotional -- can take us places that are difficult, places that are unfamiliar or maybe sadly familiar"
This is another of those light-hearted novels that are so hard to put down.  Henry Wright is a delightful character who gets in and then out of some tight spots.,This is another of those light-hearted novels that are so hard to put down. Henry Wright is a delightful character who gets in and then out of some tight spots.
"I have never read this author but I thoroughly enjoyed this story and would gladly read another.The disfigured Hero's fear, pain and pride were wonderfully described and I felt myself wanting to reach out and gently touch his scars to reassure him -at exactly the same times Aidan touched Warwick. Don't get me wrong, Warwick was a brutally strong hot male character-but we were so privy to his thoughts within this story that we began to get those protective feelings Aidan acquired. We saw the extremely handsome man Warwick really was.The passion and romace are well mixed with so much strengh and wit from both characters that sometimes you're not sure who the real Hero should be in this story.For everyone who likes the strong-take matters into her own hands Heroines--this is definately the book for you! She is a one WOMAN rescue squad that is the perfect match for our mysterious- masked hired guard Warwick. The sex between them is hot and wicked as well.enjoy!","""I have never read this author but I thoroughly enjoyed this story and would gladly read another.The disfigured Hero's fear, pain and pride were wonderfully described and I felt myself wanting to reach out and gently touch his scars to "
